Agent_ID,Stop_Number,Order_ID,Distance_km,Category,Priority_Score,Weather,Traffic,Cumulative_Distance_km
1,36,xzru633169943,3.04,Grocery,4.273,Sunny,High ,283.04
1,37,thfc822550508,6.05,Grocery,4.273,Sunny,High ,289.09
1,38,qzgj633861837,9.09,Grocery,4.273,Sunny,Medium ,298.18
1,39,ohko359802934,16.41,Grocery,4.273,Sandstorms,Low ,314.59
1,40,qmsp155841221,7.76,Grocery,4.261,Cloudy,Low ,322.36
1,41,bqxt962728153,10.26,Grocery,4.261,Sandstorms,Jam ,332.61
1,42,erqr041510565,12.43,Grocery,4.261,Windy,Medium ,345.05
1,43,swkq079451938,17.14,Grocery,4.261,Sunny,Jam ,362.18
1,44,atgt169722415,3.11,Grocery,4.248,Sunny,Low ,365.29
1,45,tayk538131527,6.21,Grocery,4.248,Sandstorms,High ,371.5
1,46,nyih637882432,19.88,Grocery,4.248,Sunny,Jam ,391.39
1,47,tfgf844243355,12.42,Grocery,4.237,Stormy,Medium ,403.8
1,48,eyxh337446115,1.55,Grocery,4.234,Sandstorms,Low ,405.36
1,49,unyc826962715,7.56,Grocery,4.234,Sandstorms,Jam ,412.92
1,50,ikpm704502761,9.08,Grocery,4.234,Windy,Low ,422.0
1,51,mevl036758189,1.49,Grocery,4.224,Sunny,Low ,423.49
1,52,qvjn938809033,1.53,Grocery,4.224,Sunny,Low ,425.02
1,53,xyra861658634,1.53,Grocery,4.224,Sunny,High ,426.55
1,54,vxrz001158651,1.54,Grocery,4.224,Sunny,Low ,428.09
1,55,lgjv933808269,1.55,Grocery,4.224,Fog,Low ,429.64
1,56,nvck471535045,3.03,Grocery,4.224,Fog,Low ,432.67
1,57,izbp341150538,4.47,Grocery,4.224,Sunny,Jam ,437.14
1,58,uhho794039705,4.66,Grocery,4.224,Sunny,Medium ,441.8
1,59,sneu049681492,7.76,Grocery,4.224,Cloudy,Medium ,449.56
1,60,qhpe245982054,13.22,Grocery,4.224,Windy,Low ,462.78
1,61,ruvo164332103,9.08,Grocery,4.211,Fog,Medium ,471.85
1,62,uatt809728135,12.24,Grocery,4.211,Sunny,Jam ,484.09
1,63,cchl911029852,9.31,Grocery,4.202,Fog,Low ,493.4
1,64,lhne706774944,3.06,Grocery,4.196,Stormy,High ,496.46
1,65,xech355017825,4.59,Grocery,4.196,Sunny,Jam ,501.05
1,66,pcyz175163778,7.72,Grocery,4.196,Sunny,Jam ,508.77
1,67,ldgv201236815,13.77,Grocery,4.196,Sandstorms,Low ,522.54
1,68,naez324035183,1.51,Grocery,4.188,Sunny,Low ,524.06
1,69,iiag436619837,1.55,Grocery,4.188,Sunny,High ,525.61
1,70,bqbi568161979,1.56,Grocery,4.188,Sunny,Low ,527.17
1,71,dotm808544846,3.03,Grocery,4.188,Fog,Low ,530.19
1,72,mdts018658987,4.56,Grocery,4.188,Sandstorms,Jam ,534.75
1,73,jzje457078090,7.45,Grocery,4.188,Sandstorms,Jam ,542.2
1,74,tdyd328293205,9.33,Grocery,4.188,Sandstorms,Low ,551.53
1,75,jwgq604828505,12.46,Grocery,4.188,Stormy,Low ,563.99
1,76,lbxb472128547,16.64,Grocery,4.188,Windy,Jam ,580.63
1,77,nxka852359003,3.1,Grocery,4.182,Fog,Low ,583.73
1,78,hxjp975012600,2.98,Grocery,4.174,Cloudy,Low ,586.71
1,79,usfn818612691,3.02,Grocery,4.174,Cloudy,Low ,589.73
1,80,tvjp719379827,3.07,Grocery,4.174,Windy,Low ,592.8
1,81,xmce620416022,4.59,Grocery,4.174,Cloudy,Low ,597.39
1,82,kfta460042349,7.49,Grocery,4.174,Stormy,Jam ,604.88
1,83,ficl589023634,7.79,Grocery,4.174,Fog,Low ,612.67
1,84,huor477700974,9.33,Grocery,4.174,Sunny,Low ,622.0
1,85,iblx845505194,10.76,Grocery,4.174,Sunny,Medium ,632.76
1,86,drky892935829,12.12,Grocery,4.174,Sunny,Jam ,644.87
1,87,uyun980432047,13.58,Grocery,4.174,Sandstorms,Low ,658.46
1,88,dymy001679530,16.9,Grocery,4.174,Stormy,Low ,675.36
1,89,arlk549931705,1.54,Grocery,4.167,Cloudy,Low ,676.9
1,90,lsst567737164,6.15,Grocery,4.167,Stormy,High ,683.04
1,91,msbb363528995,13.61,Grocery,4.167,Sunny,Low ,696.65
1,92,wiez962634765,1.51,Grocery,4.159,Sandstorms,Low ,698.17
1,93,ivqc119218474,1.52,Grocery,4.159,Stormy,Low ,699.69
1,94,qbmu482414626,1.52,Grocery,4.159,Stormy,Low ,701.21
1,95,ystv915633658,7.57,Grocery,4.159,Sunny,Jam ,708.78
1,96,josg539039376,9.18,Grocery,4.159,Sandstorms,Jam ,717.96
1,97,mgmh511282843,9.19,Grocery,4.159,Windy,Low ,727.15
1,98,sjyq274167307,9.32,Grocery,4.159,Stormy,Jam ,736.47
1,99,kyhq971738671,19.36,Grocery,4.159,Sunny,Jam ,755.83
1,100,iwwo584457151,4.61,Grocery,4.153,Sunny,Medium ,760.44
1,101,gmig388280036,7.49,Grocery,4.153,Sunny,Low ,767.93
1,102,hyrd416401603,9.12,Grocery,4.153,Sunny,Medium ,777.05
1,103,vksg100626544,9.22,Grocery,4.153,Cloudy,Medium ,786.27
1,104,ociy723150449,16.65,Grocery,4.153,Stormy,Low ,802.92
1,105,ghef322178449,19.92,Grocery,4.153,Sunny,Jam ,822.83
1,106,azvm450741882,3.03,Grocery,4.144,Sandstorms,Low ,825.86
1,107,uwun254415635,3.06,Grocery,4.144,Stormy,Low ,828.92
1,108,qwim456243505,3.11,Grocery,4.144,Stormy,Low ,832.03
1,109,ustw077285845,4.66,Grocery,4.144,Sandstorms,Jam ,836.68
1,110,stef841907019,7.6,Grocery,4.144,Fog,Low ,844.29
1,111,wgpx272356489,9.06,Grocery,4.144,Sunny,Medium ,853.34
1,112,tppv873930169,9.06,Grocery,4.144,Sandstorms,Low ,862.4
1,113,hfvp039097068,9.32,Grocery,4.144,Sunny,Jam ,871.72
1,114,kjhi649219863,10.88,Grocery,4.144,Sandstorms,Low ,882.6
1,115,xemd379703361,19.62,Grocery,4.144,Windy,Low ,902.22
1,116,cnyu894505160,1.55,Grocery,4.138,Fog,Low ,903.77
1,117,kolc196815090,1.55,Grocery,4.138,Cloudy,Low ,905.32
1,118,ibba279334408,1.55,Grocery,4.138,Sunny,Low ,906.88
1,119,lezb158488142,2.94,Grocery,4.138,Sunny,Low ,909.82
1,120,dvtw021333509,3.02,Grocery,4.138,Cloudy,Low ,912.83
1,121,tshp238044043,3.11,Grocery,4.138,Sunny,Low ,915.94
1,122,cqxz509653902,4.47,Grocery,4.138,Sunny,Low ,920.41
1,123,eyjh552405929,4.47,Grocery,4.138,Sunny,Low ,924.88
1,124,cztd091039218,4.53,Grocery,4.138,Fog,Low ,929.41
1,125,ovda898968706,4.56,Grocery,4.138,Windy,Jam ,933.97
1,126,dwbe988990866,4.59,Grocery,4.138,Fog,Low ,938.55
1,127,qxic854265941,4.67,Grocery,4.138,Stormy,Jam ,943.23
1,128,saqe741127261,6.12,Grocery,4.138,Windy,High ,949.35
1,129,dlpk618519393,9.18,Grocery,4.138,Sunny,Low ,958.53
1,130,zopl437230185,9.22,Grocery,4.138,Sunny,Low ,967.75
1,131,qrvs494583868,10.43,Grocery,4.138,Sunny,Jam ,978.18
1,132,gewe276312844,10.59,Grocery,4.138,Sunny,Medium ,988.77
1,133,yjez407853136,10.72,Grocery,4.138,Sunny,Medium ,999.5
1,134,zaqs710928539,12.1,Grocery,4.138,Sunny,Jam ,1011.6
1,135,wjfc797813971,12.42,Grocery,4.138,Stormy,Medium ,1024.01
1,136,xahf628216873,12.42,Grocery,4.138,Sunny,Medium ,1036.43
1,137,zchp411311544,12.46,Grocery,4.138,Sunny,Medium ,1048.9
1,138,iawg418776657,13.68,Grocery,4.138,Sunny,Jam ,1062.58
1,139,ckdm633727029,16.72,Grocery,4.138,Sunny,Jam ,1079.3
1,140,igtr530606799,16.9,Grocery,4.138,Stormy,Low ,1096.2
1,141,bptl308289283,1.49,Grocery,4.132,Cloudy,Low ,1097.7
1,142,kdnx758303197,4.66,Grocery,4.132,Sunny,Jam ,1102.35
1,143,eoux547788357,7.8,Grocery,4.132,Fog,Medium ,1110.16
1,144,hahb708850039,9.09,Grocery,4.132,Stormy,Low ,1119.24
1,145,nkeu809686320,9.33,Grocery,4.132,Windy,Medium ,1128.57
1,146,opkp573554563,12.44,Grocery,4.132,Windy,Low ,1141.0
1,147,ykgc916196394,16.61,Grocery,4.132,Stormy,Low ,1157.61
1,148,hvqs756604430,20.18,Grocery,4.132,Fog,Low ,1177.79
1,149,pxkr530960533,20.18,Grocery,4.132,Sunny,Low ,1197.98
1,150,favq363104218,4.6,Grocery,4.123,Fog,Low ,1202.57
1,151,njgo127778512,5.96,Grocery,4.123,Sunny,High ,1208.53
1,152,bkxn487162491,6.21,Grocery,4.123,Windy,High ,1214.74
1,153,yuug678226939,6.22,Grocery,4.123,Sunny,Medium ,1220.96
1,154,vakz912181469,8.94,Grocery,4.123,Windy,Low ,1229.9
1,155,orld834977961,9.19,Grocery,4.123,Stormy,Jam ,1239.1
1,156,wsfj385680150,9.32,Grocery,4.123,Windy,Jam ,1248.41
1,157,xzic340827023,9.32,Grocery,4.123,Sunny,Low ,1257.73
1,158,broo641714076,16.6,Grocery,4.123,Windy,Low ,1274.33
1,159,gyhb504444727,1.55,Grocery,4.118,Fog,Low ,1275.88
1,160,bncn406079521,3.1,Grocery,4.118,Fog,Low ,1278.99
1,161,mffh372572364,3.1,Grocery,4.118,Cloudy,Low ,1282.09
1,162,eidi233181450,3.12,Grocery,4.118,Fog,Low ,1285.21
1,163,emmt369754307,4.54,Grocery,4.118,Sandstorms,Low ,1289.74
1,164,pwpr253736356,4.59,Grocery,4.118,Windy,Jam ,1294.33
1,165,xfrp732846879,4.66,Grocery,4.118,Stormy,Jam ,1298.99
1,166,pufn374387336,7.6,Grocery,4.118,Stormy,Low ,1306.59
1,167,ozbr491095485,7.6,Grocery,4.118,Sunny,Jam ,1314.19
1,168,ptus652190647,7.76,Grocery,4.118,Sunny,Jam ,1321.96
1,169,sfyo711452488,7.79,Grocery,4.118,Fog,Low ,1329.75
1,170,qtdm072964625,9.22,Grocery,4.118,Sunny,Jam ,1338.97
1,171,ejgl902488240,10.72,Grocery,4.118,Sandstorms,Low ,1349.69
1,172,dufn383829967,12.42,Grocery,4.118,Sunny,Medium ,1362.11
1,173,quua577413868,1.47,Grocery,4.107,Stormy,Low ,1363.58
1,174,vtqr583289899,3.02,Grocery,4.107,Windy,Low ,1366.59
1,175,vbdy692476546,3.11,Grocery,4.107,Windy,Low ,1369.7
1,176,xvjn326314838,4.67,Grocery,4.107,Stormy,Low ,1374.37
1,177,rtlg671776257,7.55,Grocery,4.107,Stormy,Low ,1381.92
1,178,axkk581463758,7.55,Grocery,4.107,Sunny,Jam ,1389.47
1,179,ffnq515048081,7.6,Grocery,4.107,Stormy,Jam ,1397.07
1,180,ysty560490557,9.33,Grocery,4.107,Fog,Medium ,1406.39
1,181,wujy452025328,1.49,Grocery,4.103,Cloudy,Low ,1407.88
1,182,zmoy349301950,1.49,Grocery,4.103,Sandstorms,High ,1409.37
1,183,vwhf667795438,1.55,Grocery,4.103,Fog,Low ,1410.93
1,184,cyqt650811058,2.98,Grocery,4.103,Sunny,High ,1413.91
1,185,otmk534218159,3.03,Grocery,4.103,Sunny,High ,1416.93
1,186,vmac995236629,3.06,Grocery,4.103,Sunny,Low ,1420.0
1,187,lrab689170660,4.54,Grocery,4.103,Cloudy,Medium ,1424.54
1,188,dxtj319166247,5.96,Grocery,4.103,Cloudy,Medium ,1430.5
1,189,uzha635367902,6.05,Grocery,4.103,Sunny,High ,1436.55
1,190,xqqj494635438,6.21,Grocery,4.103,Cloudy,Medium ,1442.76
1,191,voqm990124775,7.55,Grocery,4.103,Sunny,Low ,1450.3
1,192,luaq247158372,7.56,Grocery,4.103,Sunny,Jam ,1457.87
1,193,fuss211697039,7.8,Grocery,4.103,Cloudy,Medium ,1465.67
1,194,ffhl423530637,9.07,Grocery,4.103,Sunny,Jam ,1474.74
1,195,plgu357533649,9.18,Grocery,4.103,Fog,Medium ,1483.92
1,196,llvz083378557,9.35,Grocery,4.103,Sunny,Jam ,1493.27
1,197,wkbh890720103,10.71,Grocery,4.103,Sandstorms,Low ,1503.98
1,198,lgrv085033405,13.79,Grocery,4.103,Stormy,Jam ,1517.77
1,199,qkux956576156,16.15,Grocery,4.103,Stormy,Medium ,1533.92
1,200,ewlg605464826,16.66,Grocery,4.103,Sandstorms,Jam ,1550.58
1,201,ctze619942656,20.07,Grocery,4.103,Stormy,Low ,1570.65
1,202,fnic314408036,3.06,Grocery,4.098,Fog,Low ,1573.71
1,203,upyp867045044,4.58,Grocery,4.098,Sunny,Medium ,1578.29
1,204,jovr205067126,9.06,Grocery,4.098,Sunny,Jam ,1587.35
1,205,sfmx806211262,9.36,Grocery,4.098,Cloudy,Low ,1596.71
1,206,setf086758860,13.76,Grocery,4.098,Sunny,Low ,1610.47
1,207,mkjp502833356,17.08,Grocery,4.098,Stormy,Low ,1627.55
1,208,mxoo633712325,1.54,Grocery,4.091,Sandstorms,Low ,1629.1
1,209,fwhp451581328,4.66,Grocery,4.091,Cloudy,Low ,1633.75
1,210,ycqq641036463,6.23,Grocery,4.091,Stormy,High ,1639.99
1,211,tohz156076022,10.87,Grocery,4.091,Sunny,Jam ,1650.85
1,212,aakx537010761,17.1,Grocery,4.091,Sunny,Jam ,1667.95
1,213,qrxj478621203,1.52,Grocery,4.087,Fog,Low ,1669.47
1,214,zrkh519266346,1.54,Grocery,4.087,Fog,Low ,1671.01
1,215,dwbm303023887,2.98,Grocery,4.087,Stormy,Low ,1673.99
1,216,mmxb478917861,3.03,Grocery,4.087,Windy,Low ,1677.01
1,217,wkhh164763085,3.04,Grocery,4.087,Sunny,High ,1680.05
1,218,yaon918532210,6.11,Grocery,4.087,Fog,Medium ,1686.16
1,219,ozgi327535696,6.21,Grocery,4.087,Stormy,High ,1692.37
1,220,oruf752178443,7.6,Grocery,4.087,Windy,Medium ,1699.97
1,221,bjih197922674,7.77,Grocery,4.087,Fog,Medium ,1707.74
1,222,bhkk139012139,9.31,Grocery,4.087,Fog,Low ,1717.06
1,223,ywze466486094,11.94,Grocery,4.087,Sunny,Jam ,1728.99
1,224,yopu381299392,14.02,Grocery,4.087,Sandstorms,Low ,1743.01
1,225,fgzn878489097,19.76,Grocery,4.087,Sandstorms,Jam ,1762.77
1,226,ihws671195762,1.53,Grocery,4.083,Sunny,Low ,1764.31
1,227,fpxz737202412,2.98,Grocery,4.083,Sunny,Low ,1767.29
1,228,dled321505653,3.02,Grocery,4.083,Sandstorms,High ,1770.3
1,229,mphz554735615,4.66,Grocery,4.083,Sunny,Low ,1774.96
1,230,jkse657300051,4.66,Grocery,4.083,Stormy,Medium ,1779.62
1,231,yiig485405962,5.96,Grocery,4.083,Sunny,Medium ,1785.58
1,232,rdkh978337271,7.45,Grocery,4.083,Stormy,Medium ,1793.03
1,233,slss912172648,10.72,Grocery,4.083,Windy,Medium ,1803.75
1,234,qaex525407976,12.42,Grocery,4.083,Sunny,Low ,1816.17
1,235,vpbg950365429,12.42,Grocery,4.083,Stormy,Jam ,1828.59
1,236,tlfi980305893,12.46,Grocery,4.083,Fog,Low ,1841.06
1,237,qakk255888929,13.58,Grocery,4.083,Stormy,Low ,1854.64
1,238,xeje600184740,13.74,Grocery,4.083,Fog,Low ,1868.38
1,239,ffts125057397,16.64,Grocery,4.083,Sandstorms,Low ,1885.01
1,240,jgof759321255,19.88,Grocery,4.083,Cloudy,Low ,1904.9
1,241,mzee769074925,1.54,Grocery,4.071,Windy,Low ,1906.44
1,242,ceur412550960,1.54,Grocery,4.071,Sandstorms,Low ,1907.98
1,243,jvhx551433804,6.04,Grocery,4.071,Fog,Medium ,1914.02
1,244,codw670085263,9.06,Grocery,4.071,Sandstorms,Jam ,1923.07
1,245,vekc149400148,12.1,Grocery,4.071,Sandstorms,Low ,1935.17
1,246,hybs161869277,12.23,Grocery,4.071,Sunny,Medium ,1947.41
1,247,hedg881700588,1.51,Grocery,4.068,Sunny,Low ,1948.92
1,248,albr835290594,1.53,Grocery,4.068,Cloudy,Low ,1950.45
1,249,tree086966199,1.53,Grocery,4.068,Cloudy,Low ,1951.98
1,250,tfzx514156185,1.55,Grocery,4.068,Cloudy,Low ,1953.53
1,251,jfqt304696696,1.55,Grocery,4.068,Windy,Low ,1955.08
1,252,sunj425530234,1.55,Grocery,4.068,Fog,Low ,1956.64
1,253,pmta451313222,1.56,Grocery,4.068,Stormy,Low ,1958.2
1,254,jdnw526991011,3.04,Grocery,4.068,Windy,High ,1961.24
1,255,kwsz157827298,3.07,Grocery,4.068,Fog,Low ,1964.31
1,256,ofbc699397572,3.11,Grocery,4.068,Cloudy,Low ,1967.42
1,257,pbja258818792,3.11,Grocery,4.068,Stormy,Low ,1970.53
1,258,lquo971607142,4.53,Grocery,4.068,Fog,Low ,1975.05
1,259,edey635831085,6.08,Grocery,4.068,Sunny,Medium ,1981.14
1,260,vyem502861911,6.21,Grocery,4.068,Stormy,Medium ,1987.35
1,261,wzwu828650167,7.76,Grocery,4.068,Windy,Low ,1995.11
1,262,ikjy506585617,7.77,Grocery,4.068,Fog,Low ,2002.88
1,263,npmh177002925,9.06,Grocery,4.068,Sunny,Low ,2011.94
1,264,kwaz245978068,9.19,Grocery,4.068,Sandstorms,Low ,2021.13
1,265,xvuq213214180,9.35,Grocery,4.068,Sandstorms,Jam ,2030.48
1,266,kstq408165510,9.36,Grocery,4.068,Sunny,Jam ,2039.84
1,267,wqgo018872631,12.07,Grocery,4.068,Sunny,Jam ,2051.91
1,268,zzpg714465168,12.24,Grocery,4.068,Windy,Low ,2064.15
1,269,zpnq747826222,12.42,Grocery,4.068,Sunny,Medium ,2076.57
1,270,jeds653249152,13.76,Grocery,4.068,Stormy,Low ,2090.33
1,271,qxeq737779011,13.83,Grocery,4.068,Windy,Jam ,2104.16
1,272,psxk769255857,17.1,Grocery,4.068,Sunny,Medium ,2121.26
1,273,tjkv219242250,19.63,Grocery,4.068,Sandstorms,Low ,2140.89
1,274,agpm666042077,20.25,Grocery,4.068,Sandstorms,Low ,2161.14
1,275,zvjn746172325,6.13,Grocery,4.065,Sunny,Medium ,2167.27
1,276,aguk675746356,9.08,Grocery,4.065,Windy,Medium ,2176.35
1,277,kpwz539559390,10.72,Grocery,4.065,Fog,Low ,2187.08
1,278,ftlx849085637,12.16,Grocery,4.065,Stormy,Low ,2199.24
1,279,aqqd762411361,19.69,Grocery,4.065,Sunny,Low ,2218.93
1,280,kayq852278171,3.07,Grocery,4.054,Sandstorms,High ,2222.0
1,281,ytsw140651117,4.66,Grocery,4.054,Fog,Medium ,2226.66
1,282,ltlq220589669,7.45,Grocery,4.054,Sunny,Jam ,2234.11
1,283,amcw178211810,1.52,Grocery,4.052,Fog,Low ,2235.63
1,284,nziq081502618,2.94,Grocery,4.052,Sandstorms,Low ,2238.56
1,285,qbst295247570,4.6,Grocery,4.052,Sunny,Low ,2243.16
1,286,qmdg957442619,6.22,Grocery,4.052,Sunny,Medium ,2249.38
1,287,uugk360056279,7.68,Grocery,4.052,Sunny,Jam ,2257.06
1,288,imka775243631,9.09,Grocery,4.052,Cloudy,Medium ,2266.15
1,289,jxam954913142,10.43,Grocery,4.052,Windy,Low ,2276.58
1,290,ygns941176682,10.43,Grocery,4.052,Windy,Low ,2287.01
1,291,kiyg810534481,10.71,Grocery,4.052,Sandstorms,Low ,2297.71
1,292,cpmm388334904,10.88,Grocery,4.052,Sandstorms,Low ,2308.59
1,293,unqa018330695,12.42,Grocery,4.052,Windy,Jam ,2321.01
1,294,ruuo170211673,13.97,Grocery,4.052,Windy,Low ,2334.98
1,295,xuhp259514120,17.07,Grocery,4.052,Stormy,Jam ,2352.06
1,296,ohkf469027492,17.1,Grocery,4.052,Stormy,Jam ,2369.15
1,297,duzi691325342,19.61,Grocery,4.052,Sunny,Low ,2388.77
1,298,qzgu384833604,1.51,Grocery,4.05,Sandstorms,Low ,2390.28
1,299,uzuf780755914,3.11,Grocery,4.05,Fog,Low ,2393.38
1,300,hjrh158531364,4.67,Grocery,4.05,Sunny,Jam ,2398.06
1,301,qpkn534650311,6.13,Grocery,4.05,Sunny,High ,2404.19
1,302,zyei435272204,6.24,Grocery,4.05,Fog,High ,2410.43
1,303,xskb030979578,9.16,Grocery,4.05,Cloudy,Medium ,2419.59
1,304,fbdu618456200,9.18,Grocery,4.05,Stormy,Low ,2428.77
1,305,akjb692987756,10.64,Grocery,4.05,Sandstorms,Low ,2439.41
1,306,gmcf366578344,12.24,Grocery,4.05,Sunny,Jam ,2451.65
1,307,qrhp298170587,13.99,Grocery,4.05,Sandstorms,Low ,2465.64
1,308,fvml427733005,16.63,Grocery,4.05,Sandstorms,Medium ,2482.27
1,309,fdcg506196741,19.36,Grocery,4.05,Windy,Medium ,2501.64
1,310,kjer055176970,1.53,Grocery,4.035,Stormy,Low ,2503.17
1,311,epqo617115133,1.53,Grocery,4.035,Sunny,High ,2504.7
1,312,fxof007663971,3.04,Grocery,4.035,Sunny,High ,2507.74
1,313,wghn284176898,4.54,Grocery,4.035,Stormy,Low ,2512.28
1,314,vhgw544413293,4.66,Grocery,4.035,Stormy,Medium ,2516.93
1,315,ptkm228606683,5.86,Grocery,4.035,Fog,Medium ,2522.79
1,316,bdto860957849,6.15,Grocery,4.035,Sunny,High ,2528.94
1,317,slnf455894110,6.22,Grocery,4.035,Sandstorms,High ,2535.16
1,318,lofi190510334,9.08,Grocery,4.035,Sunny,Jam ,2544.24
1,319,ezfk087063425,9.35,Grocery,4.035,Windy,Jam ,2553.59
1,320,zwmi398037791,11.98,Grocery,4.035,Sunny,Medium ,2565.57
1,321,wvdy114402246,20.18,Grocery,4.035,Sunny,Medium ,2585.75
1,322,efmc130012044,20.25,Grocery,4.035,Stormy,Low ,2606.0
1,323,onod348403926,1.49,Grocery,4.034,Fog,Low ,2607.49
1,324,jpbf997821085,1.52,Grocery,4.034,Fog,Low ,2609.01
1,325,jpjm699378579,2.98,Grocery,4.034,Stormy,Low ,2611.99
1,326,rfxd157515921,3.03,Grocery,4.034,Stormy,Low ,2615.02
1,327,arid118182303,3.03,Grocery,4.034,Sunny,Low ,2618.05
1,328,wejc388924541,3.06,Grocery,4.034,Sandstorms,Low ,2621.11
1,329,wicy449415655,3.1,Grocery,4.034,Windy,Low ,2624.22
1,330,hmzk787887081,3.12,Grocery,4.034,Sunny,High ,2627.33
1,331,nbyk499234099,4.41,Grocery,4.034,Cloudy,Low ,2631.74
1,332,zpje100693271,4.53,Grocery,4.034,Sunny,Medium ,2636.27
1,333,okvp821614347,4.61,Grocery,4.034,Cloudy,Low ,2640.88
1,334,znlu452296661,5.96,Grocery,4.034,Windy,Medium ,2646.84
1,335,jvnl099440097,6.23,Grocery,4.034,Sunny,Medium ,2653.07
1,336,sboe267668366,7.55,Grocery,4.034,Cloudy,Medium ,2660.62
1,337,snaj026878437,7.6,Grocery,4.034,Sunny,Medium ,2668.22
1,338,cixr373324277,9.22,Grocery,4.034,Fog,Low ,2677.44
1,339,jnma381048774,9.35,Grocery,4.034,Windy,Jam ,2686.79
1,340,zuhz456114818,9.35,Grocery,4.034,Fog,Medium ,2696.13
1,341,qzto824627061,10.87,Grocery,4.034,Sunny,Medium ,2707.0
1,342,emxx354466136,10.88,Grocery,4.034,Windy,Low ,2717.88
1,343,kudb673817146,16.37,Grocery,4.034,Sunny,Medium ,2734.25
1,344,pjvp974027461,16.6,Grocery,4.034,Sunny,Low ,2750.85
1,345,ooae819196746,16.64,Grocery,4.034,Sandstorms,Jam ,2767.49
1,346,aiys148904907,16.9,Grocery,4.034,Sandstorms,Low ,2784.39
1,347,lfeg724387332,19.47,Grocery,4.034,Sunny,Jam ,2803.86
1,348,igck706570801,19.62,Grocery,4.034,Stormy,Low ,2823.48
1,349,pzmf155158384,4.61,Grocery,4.032,Cloudy,Jam ,2828.09
1,350,ymhl309334380,4.61,Grocery,4.032,Cloudy,Medium ,2832.7
1,351,ixgu381947008,7.33,Grocery,4.032,Cloudy,Low ,2840.03
1,352,sqql365568576,9.22,Grocery,4.032,Stormy,Low ,2849.25
1,353,higp173977555,11.92,Grocery,4.032,Fog,Low ,2861.17
1,354,pcrd287687811,12.29,Grocery,4.032,Fog,Low ,2873.46
1,355,arhn746606233,16.39,Grocery,4.032,Fog,Low ,2889.85
1,356,vrtd985758265,16.72,Grocery,4.032,Fog,Low ,2906.57
1,357,hieq613946765,20.25,Grocery,4.032,Sandstorms,Jam ,2926.82
1,358,vksk598103807,4.59,Grocery,4.018,Stormy,Jam ,2931.42
1,359,cwyk181897953,4.66,Grocery,4.018,Sunny,Medium ,2936.07
1,360,maex749734737,7.57,Grocery,4.018,Sunny,Jam ,2943.65
1,361,gfwl234580616,7.76,Grocery,4.018,Sunny,Jam ,2951.41
